Date,AAPL,BAC,BRK-B,IBM,LLY,TSLA,V,WFC
2023-09-25,174.040283203125,26.097524642944336,361.7099914550781,135.490966796875,542.7359619140625,246.99000549316406,228.9957733154297,39.08641052246094
2023-09-26,169.96800231933594,25.69093132019043,359.4200134277344,132.49403381347656,540.4954833984375,244.1199951171875,225.3551483154297,38.23057174682617
2023-09-27,168.45574951171875,25.785490036010742,357.7799987792969,132.42929077148438,540.249755859375,240.5,225.20794677734375,38.42806625366211
2023-09-28,168.71275329589844,26.059701919555664,357.05999755859375,130.9585723876953,535.0315551757812,246.3800048828125,227.3275604248047,38.475093841552734
2023-09-29,169.22677612304688,25.88949966430664,350.29998779296875,129.7746124267578,527.8382568359375,250.22000122070312,225.70843505859375,38.42806625366211
2023-10-02,171.73733520507812,25.246519088745117,348.0799865722656,130.2371063232422,528.97802734375,251.60000610351562,226.9448699951172,37.25246810913086
2023-10-03,170.40293884277344,24.499523162841797,343.0400085449219,129.8578338623047,516.104736328125,246.52999877929688,224.53086853027344,36.368412017822266
2023-10-04,171.64834594726562,24.527889251708984,343.69000244140625,130.48683166503906,522.2662963867188,261.1600036621094,226.89578247070312,36.65056610107422
2023-10-05,172.88385009765625,24.641359329223633,345.05999755859375,130.903076171875,532.1129150390625,260.04998779296875,229.113525390625,36.96092224121094
2023-10-06,175.43399047851562,24.65081214904785,346.3399963378906,131.37481689453125,555.4423217773438,260.5299987792969,230.6443634033203,37.32770538330078
2023-10-09,176.91661071777344,24.877744674682617,345.45001220703125,131.5320587158203,561.8692626953125,259.6700134277344,230.05557250976562,37.33711242675781
2023-10-10,176.3235321044922,25.539642333984375,348.55999755859375,131.4488067626953,569.28857421875,263.6199951171875,232.17518615722656,37.449974060058594
2023-10-11,177.7172393798828,25.549095153808594,348.42999267578125,132.48480224609375,594.8092651367188,262.989990234375,231.27239990234375,37.32770538330078
2023-10-12,178.61671447753906,25.435630798339844,345.6600036621094,130.6440887451172,599.9390869140625,258.8699951171875,232.3518524169922,37.37472915649414
2023-10-13,176.77821350097656,25.30324935913086,345.0899963378906,128.0726318359375,598.6614990234375,251.1199951171875,233.2251739501953,38.522125244140625
2023-10-16,176.64974975585938,25.520732879638672,346.2300109863281,128.76634216308594,605.972900390625,253.9199981689453,235.58029174804688,39.17105484008789
2023-10-17,175.097900390625,26.116436004638672,345.3900146484375,129.79310607910156,597.7869873046875,254.85000610351562,236.68914794921875,39.48141098022461
2023-10-18,173.8031005859375,25.82330894470215,340.8900146484375,129.46934509277344,596.7353515625,242.67999267578125,233.02891540527344,39.05819320678711
2023-10-19,173.42752075195312,25.49236297607422,338.6600036621094,127.65637969970703,580.5797729492188,220.11000061035156,229.4373779296875,38.72903060913086
2023-10-20,170.87741088867188,24.877744674682617,335.8599853515625,126.87014770507812,574.5263671875,211.99000549316406,229.01539611816406,37.87318801879883
2023-10-23,170.99598693847656,24.17803192138672,336.8399963378906,126.148681640625,566.6746215820312,212.0800018310547,227.20001220703125,37.130210876464844
2023-10-24,171.43089294433594,24.083477020263672,338.6300048828125,127.45288848876953,582.181640625,216.52000427246094,230.2616424560547,36.94211196899414
2023-10-25,169.1179962158203,24.159120559692383,336.8999938964844,126.79618072509766,576.3148803710938,212.4199981689453,232.42050170898438,36.70698547363281
2023-10-26,164.95675659179688,24.69809341430664,336.1600036621094,132.97500610351562,558.2723999023438,205.75999450683594,226.9546661376953,37.29008483886719
2023-10-27,166.27137756347656,23.799806594848633,331.7099914550781,131.82806396484375,550.53857421875,207.3000030517578,224.98226928710938,36.45306396484375
2023-10-30,168.31736755371094,24.2914981842041,337.4100036621094,131.92982482910156,555.923828125,197.36000061035156,228.7210235595703,37.08318328857422
2023-10-31,168.79180908203125,24.906116485595703,341.3299865722656,133.78900146484375,544.3475952148438,200.83999633789062,230.70323181152344,37.402950286865234
2023-11-01,171.95474243164062,24.96285057067871,343.75,134.49197387695312,544.8684692382812,205.66000366210938,234.1181640625,37.25246810913086
2023-11-02,175.51307678222656,26.116436004638672,349.0199890136719,135.981201171875,570.2515869140625,218.50999450683594,238.70082092285156,38.43854904174805
2023-11-03,174.60369873046875,26.872886657714844,351.80999755859375,136.80442810058594,557.9874877929688,219.9600067138672,239.0442657470703,39.49178695678711
2023-11-06,177.15379333496094,26.787784576416016,346.6300048828125,137.79417419433594,584.8939208984375,219.27000427246094,238.9363250732422,39.226112365722656
2023-11-07,179.7138214111328,26.627037048339844,346.1700134277344,137.6646728515625,589.5519409179688,222.17999267578125,240.19241333007812,38.94145202636719
2023-11-08,180.7714385986328,26.371736526489258,346.29998779296875,136.92469787597656,608.419677734375,222.11000061035156,239.85804748535156,38.884517669677734
2023-11-09,180.29701232910156,26.031335830688477,348.17999267578125,137.15855407714844,581.0908813476562,209.97999572753906,237.62571716308594,38.33417892456055
2023-11-10,184.48348999023438,26.173166275024414,350.55999755859375,139.40367126464844,587.3704223632812,214.64999389648438,241.17579650878906,38.79911804199219
2023-11-13,182.89993286132812,26.192079544067383,350.010009765625,138.54307556152344,602.1107788085938,223.7100067138672,240.6054229736328,38.68525314331055
2023-11-14,185.51280212402344,27.62933349609375,354.25,140.7039794921875,601.3626098632812,237.41000366210938,242.83770751953125,39.92826843261719
2023-11-15,186.07691955566406,28.0075626373291,356.7900085449219,142.73397827148438,579.4275512695312,242.83999633789062,243.98828125,40.649410247802734
2023-11-16,187.7594757080078,27.931915283203125,359.8599853515625,143.18299865722656,579.63427734375,233.58999633789062,244.4406280517578,40.355262756347656
2023-11-17,187.7396697998047,28.347965240478516,358.92999267578125,143.02395629882812,582.5484619140625,234.3000030517578,245.41416931152344,40.76327133178711
2023-11-20,189.4815673828125,28.376331329345703,361.3299865722656,144.38975524902344,588.3472900390625,235.60000610351562,245.8173828125,40.60197067260742
2023-11-21,188.67987060546875,28.045381546020508,361.0,143.97813415527344,583.4246826171875,241.1999969482422,248.0398406982422,40.42168045043945
2023-11-22,189.343017578125,28.017013549804688,361.79998779296875,145.119384765625,585.8761596679688,234.2100067138672,249.50506591796875,40.59247589111328
2023-11-24,188.0167999267578,28.111574172973633,362.67999267578125,145.16619873046875,591.7930297851562,235.4499969482422,250.07542419433594,40.725318908691406
2023-11-27,187.83863830566406,27.950828552246094,361.3399963378906,145.53102111816406,582.3712768554688,236.0800018310547,249.91810607910156,40.8202018737793
2023-11-28,188.44236755371094,27.922462463378906,360.04998779296875,145.60585021972656,582.440185546875,246.72000122070312,248.73802185058594,41.152313232421875
2023-11-29,187.42295837402344,28.65999984741211,358.69000244140625,146.31680297851562,582.6961669921875,244.13999938964844,250.006591796875,41.54133987426758
2023-11-30,187.9969940185547,29.060302734375,360.0,148.32806396484375,581.8887329101562,240.0800018310547,252.41590881347656,42.30992126464844
2023-12-01,189.2737274169922,29.508264541625977,357.07000732421875,150.1896514892578,574.9971923828125,238.8300018310547,252.1897430419922,42.71793746948242
2023-12-04,187.4823455810547,29.37483024597168,356.6600036621094,150.70416259765625,576.61181640625,235.5800018310547,250.213134765625,42.81282424926758
2023-12-05,191.43133544921875,29.146085739135742,355.0299987792969,150.97543334960938,579.0436401367188,238.72000122070312,250.38027954101562,42.21503829956055
2023-12-06,190.3426513671875,29.09842872619629,352.3800048828125,149.9370574951172,580.1265869140625,239.3699951171875,250.0655975341797,42.22452163696289
2023-12-07,192.2725830078125,29.222335815429688,352.70001220703125,149.8809356689453,579.1616821289062,242.63999938964844,251.57017517089844,43.07851028442383
2023-12-08,193.69778442382812,29.508264541625977,353.0799865722656,151.5086669921875,588.790283203125,243.83999633789062,251.49151611328125,43.742706298828125
2023-12-11,191.19375610351562,29.403423309326172,357.05999755859375,152.95863342285156,574.9971923828125,239.74000549316406,252.258544921875,43.647823333740234
2023-12-12,192.70803833007812,29.2985782623291,360.0199890136719,154.08120727539062,575.7061157226562,237.00999450683594,255.24806213378906,44.09379577636719
2023-12-13,195.92465209960938,30.537626266479492,362.0299987792969,153.0615234375,588.248779296875,239.2899932861328,258.021240234375,45.31782913208008
