,^FTSE,^GSPC,^DJI,^IXIC,^N225,^HSI,^STOXX50E,^FCHI
^FTSE,0.019690257375685822,0.0038272170496926458,0.0023695604276718087,0.016730918814957016,0.0014365145926690766,0.01966695903236726,0.0016905130957850097,0.004366787844616557
^GSPC,0.0038272170496926458,0.019235137332833278,0.00871257176699696,0.003412501281644454,0.007344823218041484,0.003808416079800385,0.010184160728456623,0.016348450125487166
^DJI,0.0023695604276718087,0.00871257176699696,0.012487189865346214,0.001578792766330759,0.005200809310099336,0.0010628766419312134,0.007370324137637731,0.009085559962092812
^IXIC,0.016730918814957016,0.003412501281644454,0.001578792766330759,0.024108600620216646,0.002388664244448326,0.02804486067135337,0.0016688388271204463,0.004979105573352301
^N225,0.0014365145926690766,0.007344823218041484,0.005200809310099336,0.002388664244448326,0.04964035219603182,0.0036208557236907645,0.01213654837396902,0.00856648848158702
^HSI,0.01966695903236726,0.003808416079800385,0.0010628766419312134,0.02804486067135337,0.0036208557236907645,0.04210804215305792,0.0022004193226787005,0.006547677295345751
^STOXX50E,0.0016905130957850097,0.010184160728456623,0.007370324137637731,0.0016688388271204463,0.01213654837396902,0.0022004193226787005,0.05970558754331747,0.011940922069401429
^FCHI,0.004366787844616557,0.016348450125487166,0.009085559962092812,0.004979105573352301,0.00856648848158702,0.006547677295345751,0.011940922069401429,0.021329792399016036
