Date,^DJI,^FCHI,^FTSE,^GSPC,^HSI,^IXIC,^N225,^STOXX50E
2023-09-25,34006.87890625,7123.8798828125,7624.0,4337.43994140625,17729.2890625,13271.3203125,32678.619140625,4167.3701171875
2023-09-26,33618.87890625,7074.02001953125,7625.7001953125,4273.52978515625,17466.900390625,13063.6103515625,32315.05078125,4129.18017578125
2023-09-27,33550.26953125,7071.7900390625,7593.2001953125,4274.509765625,17611.869140625,13092.849609375,32371.900390625,4131.68017578125
2023-09-28,33666.33984375,7116.240234375,7601.89990234375,4299.7001953125,17373.029296875,13201.2802734375,31872.51953125,4161.56005859375
2023-09-29,33507.5,7135.06005859375,7608.10009765625,4288.0498046875,17809.66015625,13219.3203125,31857.619140625,4174.66015625
2023-10-02,33433.3515625,7068.16015625,7510.7001953125,4288.39013671875,,13307.76953125,31759.880859375,4137.6298828125
2023-10-03,33002.37890625,6997.0498046875,7470.2001953125,4229.4501953125,17331.220703125,13059.4697265625,31237.939453125,4095.590087890625
2023-10-04,33129.55078125,6996.72998046875,7412.5,4263.75,17195.83984375,13236.009765625,30526.880859375,4099.85009765625
2023-10-05,33119.5703125,6998.25,7451.5,4258.18994140625,17213.869140625,13219.830078125,31075.359375,4099.81005859375
2023-10-06,33407.578125,7060.14990234375,7494.60009765625,4308.5,17485.98046875,13431.33984375,30994.669921875,4144.43017578125
2023-10-09,33604.6484375,7021.39990234375,7492.2001953125,4335.66015625,17517.400390625,13484.240234375,,4112.56982421875
2023-10-10,33739.30078125,7162.43017578125,7628.2001953125,4358.240234375,17664.73046875,13562.83984375,31746.529296875,4205.22998046875
2023-10-11,33804.87109375,7131.2099609375,7620.0,4376.9501953125,17893.099609375,13659.6796875,31936.509765625,4200.7998046875
2023-10-12,33631.140625,7104.52978515625,7644.7998046875,4349.60986328125,18238.2109375,13574.2197265625,32494.66015625,4198.22998046875
2023-10-13,33670.2890625,7003.52978515625,7599.60009765625,4327.77978515625,17813.44921875,13407.23046875,32315.990234375,4136.1201171875
2023-10-16,33984.5390625,7022.18994140625,7630.60009765625,4373.6298828125,17640.359375,13567.98046875,31659.029296875,4149.85986328125
2023-10-17,33997.6484375,7029.7001953125,7675.2001953125,4373.2001953125,17773.33984375,13533.75,32040.2890625,4152.31982421875
2023-10-18,33665.078125,6965.990234375,7588.0,4314.60009765625,17732.51953125,13314.2998046875,32042.25,4105.85986328125
