,AAPL,TSLA,LLY,BRK-B,V,BAC,WFC,IBM
AAPL,0.07244419922802466,0.02337559198225044,0.013915356921476756,0.018455986901300365,0.014265306051821885,0.063734232417881,0.01937431833006837,0.022598303705996293
TSLA,0.02337559198225044,0.06663278763875052,0.02000474713144499,0.02340097195410068,0.01128323193197736,0.048549762238948684,0.02060182392650326,0.057710592360883974
LLY,0.013915356921476756,0.02000474713144499,0.03001139684495106,0.012196821079567122,0.012615547599415536,0.019984821072196138,0.016367093830285194,0.02083994370661319
BRK-B,0.018455986901300365,0.02340097195410068,0.012196821079567122,0.0828329260547714,0.013120695648883452,0.024195582429848407,0.021540808200887596,0.022983009499078774
V,0.014265306051821885,0.01128323193197736,0.012615547599415536,0.013120695648883452,0.12834798741554676,0.025185525767466098,0.013698322155432464,0.009983251048883129
BAC,0.063734232417881,0.048549762238948684,0.019984821072196138,0.024195582429848407,0.025185525767466098,0.34490435294039334,0.032767187345502685,0.05569952554098053
WFC,0.01937431833006837,0.02060182392650326,0.016367093830285194,0.021540808200887596,0.013698322155432464,0.032767187345502685,0.04177185481187077,0.021456258198117875
IBM,0.022598303705996293,0.057710592360883974,0.02083994370661319,0.022983009499078774,0.009983251048883129,0.05569952554098053,0.021456258198117875,0.08240691494563306
